Temperature (°C),pH,Oxygen (mg/L),Ammonia-Nitrogen (mg/L),Water_Level (%)
20.52,6.79,6.43,0.239,36.05
26.45,7.97,7.18,0.469,98.24
20.43,6.74,5.5,0.239,35.4
24.36,6.78,6.84,0.237,0.11
21.73,6.8,7.1,0.04,44.27
27.75,7.82,5.52,0.365,34.96
26.23,6.73,4.48,0.115,8.05
24.16,7.3,4.26,0.067,10.81
20.59,7.34,5.75,0.233,43.94
20.79,7.61,5.93,0.099,96.07
22.14,8.15,5.71,0.364,66.67
20.84,8.31,5.52,0.299,82.34
23.04,8.12,7.26,0.158,30.96
27.72,8.06,4.85,0.313,81.29
25.46,8.03,7.45,0.387,97.87
25.75,8.26,5.41,0.27,1.7
27.56,6.79,7.13,0.227,29.66
22.15,7.22,7.07,0.193,45.03
25.32,7.89,4.63,0.499,45.99
22.76,7.36,5.54,0.129,56.82
26.01,7.34,5.89,0.128,22.33
22.78,8.2,4.39,0.385,19.81
20.44,7.92,6.63,0.188,3.02
26.91,8.43,5.4,0.183,49.51
25.34,8.06,7.83,0.111,7.94
25.26,8.49,4.12,0.422,59.17
27.8,8.46,4.12,0.289,37.11
27.82,6.69,6.98,0.317,34.21
20.21,6.93,7.36,0.081,40.74
27.71,6.54,6.16,0.495,5.82
23.21,7.79,7.73,0.332,97.63
21.11,7.7,7.27,0.039,72.52
21.47,7.76,7.81,0.276,58.83
25.62,8.15,6.81,0.143,51.57
22.57,7.75,7.99,0.305,69.64
26.16,8.27,7.82,0.106,43.27
22.21,7.57,6.1,0.059,11.88
27.01,8.16,4.57,0.394,70.27
26.04,7.7,7.04,0.36,77.76
25.03,6.96,4.1,0.221,47.47
27.25,8.35,7.37,0.486,18.61
25.17,6.58,5.49,0.084,79.18
20.32,7.88,4.26,0.314,69.81
20.05,7.37,6.4,0.201,10.46
25.19,7.45,5.41,0.213,30.54
23.15,7.05,7.95,0.015,54.38
25.34,7.28,5.03,0.034,71.06
21.99,6.63,6.6,0.357,99.16
21.05,7.24,7.08,0.232,96.66
25.03,7.13,7.32,0.031,11.6
27.2,7.67,6.6,0.407,64.5
22.37,7.48,4.41,0.327,22.47
21.4,8.44,4.39,0.481,67.81
25.86,7.67,4.95,0.043,56.59
22.77,7.46,6.84,0.246,7.24
22.92,7.95,6.84,0.3,5.14
21.19,7.67,5.56,0.069,15.26
26.55,8.15,7.79,0.465,51.96
23.64,8.02,4.45,0.349,66.72
20.79,7.87,7.74,0.105,98.09
21.09,6.63,4.35,0.347,85.78
27.05,8.05,7.94,0.083,2.21
26.1,7.33,7.16,0.312,64.54
22.42,7.0,5.87,0.208,71.52
25.58,7.26,7.27,0.308,7.54
22.55,6.65,5.24,0.329,29.6
22.6,6.55,4.66,0.169,76.58
24.91,8.45,7.29,0.017,97.02
27.84,7.95,4.08,0.285,81.65
24.88,6.6,5.23,0.354,82.51
27.97,7.78,6.33,0.467,94.39
24.8,8.29,5.61,0.164,37.85
25.61,7.88,4.63,0.001,75.19
22.14,8.0,4.03,0.273,79.4
22.19,7.17,5.28,0.037,50.63
20.96,6.5,7.51,0.176,8.71
27.37,6.88,4.8,0.368,6.88
25.25,7.18,4.87,0.191,15.85
21.19,8.06,5.19,0.043,54.64
27.95,8.16,7.88,0.313,71.37
23.88,6.95,4.21,0.123,84.87
21.35,6.87,5.76,0.221,95.74
21.9,6.87,6.68,0.017,7.25
23.7,6.95,4.48,0.282,40.22
26.79,8.26,7.25,0.191,47.57
20.3,8.26,5.24,0.039,5.97
27.26,7.67,6.34,0.363,2.13
22.57,7.36,7.52,0.128,98.07
26.86,6.72,6.29,0.218,26.09
22.25,7.36,6.06,0.222,44.16
21.41,7.27,5.12,0.4,75.35
20.71,7.24,7.22,0.046,66.22
21.87,6.85,6.54,0.411,26.14
23.82,6.6,6.87,0.295,56.95
24.15,8.25,6.84,0.469,23.83
37.91,4.51,0.02,1.249,95.69
37.53,4.75,1.46,4.173,108.71
37.62,4.2,1.09,4.437,102.62
36.28,4.84,0.14,3.189,106.87
36.91,4.37,1.88,3.593,95.39
