Temperature (°C),pH,Oxygen (mg/L),Ammonia-Nitrogen (mg/L),Water_Level (%)
27.4,8.09,4.81,0.238,22.07
20.4,7.66,6.58,0.165,36.51
21.9,6.65,7.14,0.445,0.9
26.54,6.7,7.34,0.391,64.09
26.09,7.86,5.4,0.113,63.97
21.31,8.47,6.64,0.089,45.85
23.65,6.52,4.94,0.258,59.81
22.22,7.29,6.71,0.113,63.46
25.35,7.97,4.97,0.279,92.23
25.07,8.18,5.94,0.349,97.85
27.99,6.77,5.01,0.131,53.43
26.88,8.03,4.61,0.305,77.57
23.8,8.36,7.66,0.338,3.0
26.78,6.66,6.17,0.22,27.95
20.7,8.06,5.45,0.156,69.44
26.69,7.39,7.77,0.147,72.72
22.32,8.06,4.58,0.12,69.01
21.55,6.91,7.35,0.189,11.72
21.02,8.04,4.28,0.372,84.75
21.13,7.22,4.44,0.067,72.74
20.86,7.75,6.21,0.184,95.82
26.21,6.81,4.39,0.466,67.7
20.08,7.13,6.75,0.205,58.4
22.51,7.41,4.38,0.03,60.93
23.3,6.63,6.51,0.463,95.99
20.39,6.61,4.88,0.195,36.64
27.6,6.74,6.34,0.012,38.65
25.8,6.89,5.74,0.193,77.77
21.72,7.47,7.36,0.345,52.51
21.89,6.81,7.21,0.262,33.03
20.87,7.73,4.07,0.043,30.14
24.5,6.5,4.08,0.342,40.78
27.71,6.81,5.31,0.27,89.17
27.86,7.63,5.69,0.275,67.08
23.1,7.2,4.38,0.319,3.02
26.77,8.4,4.7,0.323,72.69
25.91,7.04,6.05,0.001,44.92
24.28,7.47,4.66,0.346,88.53
21.59,8.28,7.58,0.049,18.83
22.09,8.18,6.02,0.035,26.39
21.36,8.44,7.95,0.341,16.12
21.83,7.36,5.2,0.365,40.31
23.05,8.25,7.88,0.394,55.7
23.13,7.93,7.96,0.433,89.62
21.33,7.55,4.1,0.277,23.21
22.26,7.75,7.56,0.329,54.26
20.21,6.93,6.52,0.305,8.14
26.75,7.34,5.53,0.337,75.71
22.39,7.84,5.82,0.247,44.19
26.34,7.78,4.64,0.288,24.17
21.44,8.16,5.32,0.494,23.78
22.28,7.07,5.07,0.443,82.4
24.85,7.49,6.92,0.008,39.12
24.95,8.25,7.54,0.395,19.87
25.13,7.43,4.52,0.459,34.74
27.05,7.41,7.06,0.453,87.71
25.3,8.23,6.42,0.425,39.35
27.79,7.99,6.49,0.041,46.42
20.62,7.45,7.64,0.303,64.8
25.12,8.4,5.34,0.429,66.56
23.14,7.59,4.14,0.322,9.66
23.33,8.28,7.61,0.405,21.25
24.06,6.93,5.32,0.126,1.93
24.27,7.39,5.47,0.425,89.6
20.34,8.42,7.81,0.138,68.02
23.56,7.16,6.1,0.078,33.45
25.01,7.39,5.96,0.342,58.67
21.56,7.33,6.37,0.205,64.91
20.87,6.86,7.06,0.16,89.8
21.62,8.15,7.16,0.156,45.68
26.33,7.45,7.11,0.432,68.39
24.2,8.11,7.14,0.478,27.02
22.3,7.53,6.38,0.007,96.64
25.41,6.97,7.11,0.094,96.35
22.18,6.74,5.17,0.443,13.08
26.81,6.51,5.12,0.167,99.65
21.61,6.5,4.6,0.399,8.32
22.94,7.02,4.92,0.342,27.56
26.88,6.79,6.96,0.139,37.91
22.21,7.87,4.64,0.239,49.01
25.63,7.86,5.06,0.381,15.94
23.97,6.51,6.25,0.147,79.8
27.58,7.14,7.79,0.266,65.74
23.2,7.96,7.08,0.038,37.72
26.55,7.83,7.06,0.06,94.13
26.36,6.93,5.1,0.272,44.78
20.62,7.6,6.88,0.101,39.33
27.62,6.65,7.07,0.014,29.34
27.52,7.76,4.43,0.011,1.11
24.17,7.13,7.56,0.298,32.86
21.42,6.58,4.7,0.317,25.7
26.65,6.76,7.17,0.221,90.5
23.85,8.41,7.75,0.415,92.08
22.65,7.94,4.5,0.475,12.34
20.57,7.45,6.88,0.497,27.89
38.71,4.31,1.46,3.451,102.75
38.99,4.73,0.86,1.55,102.42
36.38,4.67,1.77,1.626,109.46
36.91,4.3,1.82,4.102,103.3
35.3,4.26,1.79,2.383,104.16
